event_id,user_id,ad_id,campaign_id,event_type,event_timestamp,revenue_usd
de2abdcb-5b10-4946-8b63-11344f794b08,user_1,ad_42,camp_8,impression,2026-01-01,0.0
7b6b0372-0d37-4b25-a2f0-861e3d4cdb3d,user_2,ad_102,camp_18,impression,2026-01-01,0.0
448dc648-8783-43cc-a4ca-a2a95dbce162,user_3,ad_162,camp_11,impression,2026-01-01,0.0
18403d39-75a3-4a68-a2b4-68a63942216a,user_4,ad_104,camp_1,impression,2026-01-01,0.0
4ca61e37-cbbd-4c9f-81b3-11002d1b4bd4,user_4,ad_67,camp_2,impression,2026-01-02,0.0
b4a594f1-dc62-4844-9670-51eee0e276bb,user_4,ad_46,camp_12,impression,2026-01-03,0.0
d53b4f6d-5415-4bf5-940b-fc15444af9bb,user_4,ad_196,camp_7,impression,2026-01-04,0.0
424fec6a-3efe-415d-846a-12c5a5e6bdad,user_4,ad_44,camp_16,impression,2026-01-05,0.0
c6bde60b-9f3f-4020-8391-e8bb0e0848b5,user_4,ad_16,camp_4,click,2026-01-05,0.0
f2c77c63-391c-4061-8add-359c64838ab4,user_4,ad_189,camp_19,impression,2026-01-06,0.0
3d3d4eb5-a786-45c2-80e5-ded3a44b7352,user_4,ad_119,camp_1,impression,2026-01-07,0.0
4c82c76f-8220-4074-979c-753dc646bc1d,user_4,ad_52,camp_12,impression,2026-01-08,0.0
ab1c3246-5ea7-43e8-8e74-232abf16418b,user_4,ad_141,camp_6,impression,2026-01-09,0.0
57a81411-14f0-4894-9ce0-07037b357f01,user_4,ad_127,camp_4,impression,2026-01-10,0.0
b7ac6f15-9fcf-4ca0-acbd-f85eb8cd060d,user_4,ad_3,camp_14,impression,2026-01-11,0.0
c6c32898-5d01-4524-a42d-415f19b1e32b,user_5,ad_132,camp_18,impression,2026-01-01,0.0
92b51945-b1e0-4f53-81e9-0d923470a585,user_5,ad_79,camp_18,impression,2026-01-02,0.0
a8e0dd0f-ac17-4816-8faf-a1331c058fc7,user_5,ad_8,camp_11,impression,2026-01-03,0.0
b3f23eae-1169-4f0b-a8ec-90b9f933ecae,user_5,ad_150,camp_19,impression,2026-01-04,0.0
03769986-e217-4450-a155-0e98a081366a,user_5,ad_72,camp_8,impression,2026-01-05,0.0
f132b040-ccc9-4b69-850b-a101165fae48,user_5,ad_124,camp_7,impression,2026-01-06,0.0
6ed1f8c1-715e-45e2-8b82-df97f8f51fd9,user_5,ad_83,camp_15,impression,2026-01-07,0.0
b679ebc1-e1fd-40ee-84a3-66031206ab71,user_5,ad_114,camp_7,impression,2026-01-08,0.0
86aa06e3-4b1c-4066-a540-3b44997e551f,user_5,ad_76,camp_9,impression,2026-01-09,0.0
657e9eb8-887e-453d-93a9-dc1ea46da5c5,user_5,ad_164,camp_14,impression,2026-01-10,0.0
476abd0e-e0bc-4ad4-a10c-2f2b12cd855a,user_5,ad_77,camp_15,impression,2026-01-11,0.0
4fa2abbe-1952-4d52-9e40-409c58098894,user_6,ad_41,camp_14,impression,2026-01-01,0.0
0df38a75-8cc5-412e-9c1d-4f9028f16a71,user_6,ad_129,camp_10,impression,2026-01-02,0.0
0db9ecdf-ba2f-4606-81f0-36999f185489,user_7,ad_115,camp_16,impression,2026-01-01,0.0
3029e9a3-4d5d-4e22-b06f-150e5b966447,user_8,ad_36,camp_13,impression,2026-01-01,0.0
68a2ef7f-59c6-4ad6-8cd6-8797edbc2575,user_8,ad_99,camp_11,impression,2026-01-02,0.0
668fc5ea-dac5-49c0-a0c4-e24485a40a19,user_9,ad_176,camp_11,impression,2026-01-01,0.0
a028b3a0-e698-4602-a2b5-54eb39a997ad,user_9,ad_191,camp_19,impression,2026-01-02,0.0
a597c4c3-8cd0-415e-8540-23d23a1ef297,user_12,ad_56,camp_14,impression,2026-01-01,0.0
